miRNAName	138011N	138011T	138228N	138228T	138239N	138239T
hsa-miR-324-5p	193	230	77	359	105	225
hsa-miR-330-3p	450	339	170	1033	199	671
hsa-miR-3928-3p	17	25	9	38	15	150
hsa-miR-6130	44	26	32	66	37	11
hsa-miR-569	2	3	2	4	1	0
hsa-miR-507	1	1	2	2	5	0
hsa-miR-544a	2	10	7	11	10	2
hsa-miR-3677-5p	1	7	4	2	0	1
hsa-miR-671-5p	150	252	87	869	136	698
hsa-miR-22-5p	798	563	999	1630	597	418
hsa-miR-6833-3p	6	6	1	12	5	0
hsa-miR-1281	10	4	16	14	2	5
hsa-miR-548s	11	10	6	8	11	14
hsa-miR-548aq-5p	2	0	0	0	0	0
hsa-miR-8070	2	2	0	0	0	1
hsa-miR-6881-3p	0	8	4	5	4	5
hsa-miR-557	0	3	4	1	0	0
hsa-miR-5580-5p	3	5	0	6	0	2
hsa-miR-548c-3p	2	2	1	4	2	2
hsa-miR-193a-3p	117	107	49	170	46	206
hsa-miR-548f-3p	25	63	34	48	36	160
hsa-miR-876-5p	2	9	18	26	10	22
hsa-miR-6831-3p	0	5	3	0	1	1
hsa-miR-3678-3p	5	2	3	4	0	4
hsa-miR-8057	5	1	2	2	4	3
hsa-miR-494-5p	2	4	1	6	0	3
hsa-miR-6716-3p	14	5	5	24	9	17
hsa-miR-8060	1	2	0	1	0	1
hsa-miR-4644	4	7	11	14	4	6
hsa-miR-4786-5p	0	3	1	6	0	10
hsa-miR-621	1	4	0	0	0	0
hsa-miR-1233-3p	2	3	0	1	4	6
hsa-miR-4703-3p	1	2	4	3	1	2
hsa-miR-6729-3p	0	0	0	2	0	2
hsa-miR-513c-5p	4	6	0	1	5	1
hsa-miR-3934-5p	18	2	6	56	12	53
hsa-miR-6846-5p	3	0	4	0	1	0
hsa-miR-5192	0	4	1	7	3	5
hsa-miR-15a-5p	1117	1907	896	1601	1137	805
hsa-miR-616-3p	4	6	6	11	10	30
hsa-miR-6508-3p	0	1	2	1	0	0
hsa-miR-6811-3p	0	0	0	5	1	2
hsa-miR-4784	2	4	2	6	5	15
hsa-miR-449c-5p	3	13	0	10	8	26
hsa-miR-4315	1	0	0	2	0	0
hsa-miR-3660	3	16	4	4	2	6
hsa-miR-5590-3p	10	26	12	4	11	3
hsa-miR-874-5p	12	10	7	10	19	10
hsa-let-7g-5p	406840	221425	363538	295594	375587	146435
hsa-miR-1199-5p	5	5	5	15	11	19
hsa-miR-525-5p	0	32	0	1	0	4
hsa-miR-6774-3p	2	5	6	10	0	2
hsa-miR-6840-5p	0	5	2	4	1	2
hsa-miR-378a-3p	34199	27489	66427	15814	74971	57016
hsa-miR-518e-5p	2	9	4	0	0	0
hsa-miR-6838-5p	6	4	3	4	9	5
hsa-miR-135a-3p	7	2	0	4	0	0
hsa-miR-6731-3p	2	0	3	1	0	2
hsa-miR-6734-5p	7	5	2	10	0	12
hsa-miR-449a	49	71	42	36	57	63
hsa-miR-1238-5p	2	0	1	1	0	0
hsa-miR-6721-5p	2	2	3	8	8	10
hsa-miR-4717-3p	5	4	2	12	1	2
hsa-miR-6851-5p	0	0	3	4	0	2
hsa-miR-519a-5p	0	20	1	1	0	0
hsa-miR-890	0	0	4	0	0	0
hsa-miR-509-3p	4	4	4	10	4	7
hsa-miR-380-3p	8	4	6	16	12	0
hsa-miR-5089-5p	0	1	1	3	1	1
hsa-miR-1323	1	329	0	7	0	4
hsa-miR-513b-3p	0	4	0	0	0	0
hsa-miR-3944-5p	9	11	11	4	7	11
hsa-miR-4759	1	1	1	0	3	2
hsa-miR-6782-5p	0	4	4	4	2	5
hsa-miR-5681a	1	0	2	0	0	0
hsa-miR-7112-5p	0	0	0	1	0	0
hsa-miR-642a-5p	18	3	14	14	15	52
hsa-miR-1237-3p	0	0	2	0	1	2
hsa-miR-6765-5p	2	1	1	0	1	2
hsa-miR-4511	40	19	4	25	26	40
hsa-miR-499a-5p	320	274	320	224	311	39
hsa-miR-3157-3p	20	8	2	3	8	7
hsa-miR-4667-5p	1	6	6	4	2	7
hsa-miR-92a-1-5p	38	39	59	107	60	91
hsa-miR-3689b-5p	0	0	1	0	0	0
hsa-miR-212-5p	40	19	21	71	24	83
hsa-miR-4756-3p	2	0	0	0	0	0
hsa-miR-219a-5p	54	54	57	38	26	35
hsa-miR-30b-5p	34153	29117	30072	29044	30255	16978
hsa-miR-379-3p	74	24	36	57	45	8
hsa-miR-4671-5p	0	3	0	4	0	0
hsa-miR-3192-3p	5	4	1	10	5	15
